Vibration,Latitude,Longitude
-2004,48.00611 ,0.199556 
-2004,48.00613,0.199557
-2004,48.00615,0.199558
-2004,48.00617,0.199559
-2004,48.00619,0.199561
-2004,48.00621,0.199563
-2004,48.00623,0.199565
-2004,48.00625,0.199567
-2004,48.00627,0.199569
-2004,48.00629,0.199571
-2004,48.00631,0.199573
-2004,48.00633,0.199575
-2004,48.00635,0.199577
-2004,48.00637,0.199579
-2004,48.00639,0.199581
-2004,48.00641,0.199583
-2004,48.00643,0.199587
-2005,48.00645,0.199999
-2004,48.00647,0.2
-2004,48.00649,0.205
-2004,48.00651,0.210
-2004,48.00653,0.215
-2004,48.00654,0.220
-2004,48.00655,0.225
-2004,48.00657,0.230
-2003,48.00659,0.235
-2003,48.00660,0.240
-2003,48.00662,0.245
-2003,48.00664,0.250
-2003,,
-2003,,
-2003,,
-2003,,
-2003,,
-2003,,
-2004,,
-2004,,
-2004,,
-2004,,
-2004,,
-2004,,
-2004,,
-2005,,
-2005,,
-2005,,
-2004,,
-2004,,
-2004,,
-2004,,
-2004,,
-2004,,
-2004,,
-2004,,
-2004,,
-2004,,
-2004,,
-2005,,
-2004,,
-2004,,
-2004,,
-2004,,
-2004,,
-2004,,
-2004,,
-2004,,
-2004,,
-2004,,
-2004,,
-2004,,
-2004,,
-2004,,
-2004,,
-2004,,
-2005,,
-2005,,
-2005,,
-2005,,
-2005,,
-2005,,
-2005,,
-2005,,
-2005,,
-2005,,
-2005,,
-2005,,
-2004,,
-2005,,
-2005,,
-2005,,
-2005,,
-2005,,
-2005,,
-2004,,
-2004,,
-2004,,
-2005,,
-2005,,
-2005,,
-2004,,
-2004,,
-2004,,
-2004,,
-2003,,
-2004,,
-2003,,
-2003,,
-2003,,
-2003,,
-2003,,
-2003,,
-2003,,
-2003,,
-2003,,
-2003,,
-2003,,
-2003,,
-2003,,
-2003,,
-2003,,
-2003,,
-2003,,
-2003,,
-2003,,
-2002,,
-2003,,
-2002,,
-2002,,
-2003,,
-2002,,
-2002,,
-2001,,
-2002,,
-2002,,
-2002,,
-2002,,
-2002,,
-2001,,
-2001,,
-2001,,
-2001,,
-2001,,
-2000,,
-2000,,
-2000,,
-2001,,
-2000,,
-2000,,
-2000,,
-2000,,
-2000,,
-2000,,
-2001,,
-2000,,
-2000,,
-2001,,
-2001,,
-2001,,
-2001,,
-2001,,
-2001,,
-2002,,
-2001,,
-2002,,
-2002,,
-2002,,
-2002,,
-2002,,
-2002,,
-2002,,
-2001,,
-2001,,
-2001,,
-2001,,
-2001,,
-2001,,
-2001,,
-2001,,
-2001,,
-2001,,
-2001,,
-2001,,
-2001,,
-2000,,
-2000,,
-2000,,
-2001,,
-2002,,
-2002,,
-2002,,
-2002,,
-2002,,
-2002,,
-2001,,
-2001,,
-2001,,
-2002,,
-2002,,
-2002,,
-2002,,
-2002,,
-2002,,
-2002,,
-2003,,
-2003,,
-2003,,
-2003,,
-2002,,
-2003,,
-2002,,
-2002,,
-2002,,
-2002,,
-2002,,
-2002,,
-2002,,
-2002,,
-2002,,
-2002,,
-2002,,
-2002,,
-2003,,
-2003,,
-2002,,
-2003,,
-2002,,
-2002,,
-2002,,
-2003,,
-2003,,
-2003,,
-2004,,
-2004,,
-2004,,
-2004,,
-2004,,
-2003,,
-2003,,
-2003,,
-2002,,
-2002,,
-2002,,
-2002,,
-2003,,
-2003,,
-2004,,
-2003,,
-2003,,
-2003,,
-2003,,
-2003,,
-2002,,
-2002,,
-2002,,
-2002,,
-2001,,
-2001,,
-2002,,
-2001,,
-2002,,
-2002,,
-2002,,
-2003,,
-2003,,
-2003,,
-2004,,
-2004,,
-2003,,
-2003,,
-2003,,
-2004,,
-2004,,
-2004,,
-2005,,
-2005,,
-2004,,
-2004,,
-2004,,
-2004,,
-2003,,
-2003,,
-2003,,
-2002,,
-2002,,
-2003,,
-2003,,
-2003,,
-2003,,
-2003,,
-2003,,
-2003,,
-2004,,
-2004,,
-2005,,
-2005,,
-2004,,
-2005,,
-2004,,
-2004,,
-2003,,
-2003,,
-2005,,
-2004,,
-2004,,
-2003,,
-2004,,
-2008,,
-2008,,
-2011,,
-2013,,
-2011,,
-2012,,
-2009,,
-2010,,
-2010,,
-2009,,
-2011,,
-2011,,
-2012,,
-2012,,
-2012,,
-2013,,
-2011,,
-2010,,
-2010,,
-2012,,
-2013,,
-2014,,
-2012,,
-2011,,
-2010,,
-2011,,
-2013,,
-2014,,
-2013,,
-2010,,
-2013,,
-2014,,
-2015,,
-2013,,
-2014,,
-2011,,
-2007,,
-2009,,
-2008,,
-2009,,
-2008,,
-2006,,
-2007,,
-2006,,
-2008,,
-2005,,
-2006,,
-2006,,
-2004,,
-2005,,
-2015,,
-2015,,
-2029,,
-2024,,
-2029,,
-2033,,
-2032,,
-2031,,
-2035,,
-2038,,
-2033,,
-2037,,
-2037,,
-2037,,
-2036,,
-2036,,
-2038,,
-2037,,
-2037,,
-2039,,
-2042,,
-2041,,
-2041,,
-2041,,
-2039,,
-2042,,
-2038,,
-2035,,
-2040,,
-2042,,
-2040,,
-2040,,
-2038,,
-2042,,
-2039,,
-2031,,
-2028,,
-2028,,
-2024,,
-2018,,
-2017,,
-2050,,
-2061,,
-2071,,
-2071,,
-2072,,
-2068,,
-2065,,
-2073,,
-2072,,
-2061,,
-2061,,
-2045,,
-2059,,
-2035,,
-2021,,
-2022,,
-2024,,
-2018,,
-2017,,
-2024,,
-2025,,
-2027,,
-2033,,
-2033,,
-2034,,
-2035,,
-2025,,
-2026,,
-2015,,
-2011,,
-2014,,
-2011,,
-2014,,
-2019,,
-2002,,
-2014,,
-2007,,
-2011,,
-2010,,
-2005,,
-2004,,
-1966,,
-1981,,
-1993,,
-1996,,
-1996,,
-1993,,
-1992,,
-1991,,
-1962,,
-1956,,
-1943,,
-1939,,
-1950,,
-1915,,
-1925,,
-1920,,
-1895,,
-1921,,
-1928,,
-1938,,
-1927,,
-1945,,
-1952,,
-1959,,
-1935,,
-1945,,
-1938,,
-1930,,
-1948,,
-1957,,
-1966,,
-1958,,
-1969,,
-1963,,
-1971,,
-1973,,
-2012,,
-2055,,
-2008,,
-2015,,
-2009,,
-2016,,
-2007,,
-2004,,
-2005,,
-1996,,
-1985,,
-1997,,
-2001,,
-2019,,
-2017,,
-2056,,
-2064,,
-2069,,
-2085,,
-2030,,
-2037,,
-2054,,
-2043,,
-2038,,
-2020,,
